"BOROCODE","City, State, Zip ","ORIGINAL MARKET VALUE","Borough","Postcode","Latitude","Longitude","NTA"
"1","NEW YORK             NY 10028     ","27214000","MANHATTAN","10028","40.779253","-73.959971","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-0437","8346000","MANHATTAN","10028","40.779813","-73.960379","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10001     ","7804000",,,,,
"1","NEW YORK             NY 10128-1043","26650000","MANHATTAN","10128","40.781217","-73.957544","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10065-8194","34117000","MANHATTAN","10065","40.763097","-73.967562","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10022-5585","24805000","MANHATTAN","10022","40.759555","-73.974346","Midtown-Midtown South                                                      "
"1","NEW YORK             NY 10128-0725","173370","MANHATTAN","10128","40.785824","-73.954894","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10010-6013","27348000","MANHATTAN","10010","40.740418","-73.989427","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"1","NEW YORK             NY 10065-8194","22088000","MANHATTAN","10065","40.763097","-73.967562","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10001-5829","20928000","MANHATTAN","10001","40.747629","-73.99306","Midtown-Midtown South                                                      "
"1","NEW YORK             NY 10022     ","4198000",,,,,
"1","NEW YORK             NY 10022-3222","2455000","MANHATTAN","10022","40.760628","-73.972465","Midtown-Midtown South                                                      "
"1","NEW YORK             NY 10022-3222","2643000","MANHATTAN","10022","40.760628","-73.972465","Midtown-Midtown South                                                      "
"1","WURTSBORO            NY 12790-0807","4626000",,,,,
"1","NEW YORK             NY 10028-1122","2057000","MANHATTAN","10028","40.777833","-73.957712","Upper East Side-Carnegie Hill                                              "
"1","PORT CHESTER         NY 10573-0031","2269000",,,,,
"1","NEW YORK             NY 10028-1931","263759","MANHATTAN","10028","40.777129","-73.955232","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10021-3901","176325","MANHATTAN","10021","40.768768","-73.95418","Lenox Hill-Roosevelt Island                                                "
"1","NEW YORK             NY 10028-1931","387625","MANHATTAN","10028","40.777129","-73.955232","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-1931","384710","MANHATTAN","10028","40.777129","-73.955232","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10014-5200","397826","MANHATTAN","10014","40.736864","-74.003475","West Village                                                               "
"1","NEW YORK             NY 10022-6981","393454","MANHATTAN","10022","40.757582","-73.975805","Midtown-Midtown South                                                      "
"1","NEW YORK             NY 10028-1931","397826","MANHATTAN","10028","40.777129","-73.955232","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-1931","393454","MANHATTAN","10028","40.777129","-73.955232","Upper East Side-Carnegie Hill                                              "
"1","LARCHMONT            NY 10538-1108","408026",,,,,
"1","NEW YORK             NY 10028-1931","403654","MANHATTAN","10028","40.777129","-73.955232","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-1931","408026","MANHATTAN","10028","40.777129","-73.955232","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-1931","403654","MANHATTAN","10028","40.777129","-73.955232","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-1931","426970","MANHATTAN","10028","40.777129","-73.955232","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-1931","422598","MANHATTAN","10028","40.777129","-73.955232","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-1981","426970","MANHATTAN","10028","40.777129","-73.955232","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-1981","426970","MANHATTAN","10028","40.777129","-73.955232","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-1981","437171","MANHATTAN","10028","40.777129","-73.955232","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-1981","432799","MANHATTAN","10028","40.777129","-73.955232","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-1981","437171","MANHATTAN","10028","40.777129","-73.955232","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-1981","432799","MANHATTAN","10028","40.777129","-73.955232","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028     ","887457","MANHATTAN","10028","40.777129","-73.955232","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-1981","445914","MANHATTAN","10028","40.777129","-73.955232","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10014-5200","441543","MANHATTAN","10014","40.736864","-74.003475","West Village                                                               "
"1","NEW YORK             NY 10028     ","907858","MANHATTAN","10028","40.777129","-73.955232","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-1981","368681","MANHATTAN","10028","40.777129","-73.955232","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-1981","539177","MANHATTAN","10028","40.777129","-73.955232","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-1981","375967","MANHATTAN","10028","40.777129","-73.955232","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-1981","550836","MANHATTAN","10028","40.777129","-73.955232","Upper East Side-Carnegie Hill                                              "
"1","OYSTER BAY           NY 11771-2509","926802",,,,,
"1","NEW YORK             NY 10028-1981","391997","MANHATTAN","10028","40.777129","-73.955232","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-1981","630984","MANHATTAN","10028","40.777129","-73.955232","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2079","295660","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2079","453378","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2079","192178","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2079","335134","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2081","246438","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10017-1111","335134","MANHATTAN","10017","40.756808","-73.976343","Midtown-Midtown South                                                      "
"1","NEW YORK             NY 10028-2000","297113","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2015","421373","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2079","287271","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","MANHASSET            NY 11030-2439","369589",,,,,
"1","NEW YORK             NY 10028-2014","349898","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2079","203481","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2079","193636","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2079","336582","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","                                  ","247882",,,,,
"1","NEW YORK             NY 10028-2079","337047","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2000","298670","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2079","422926","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2079","205034","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-8005","195190","MANHATTAN","10028","40.773401","-73.945901","Yorkville                                                                  "
"1","BROOKLYN             NY 11209-2914","338059",,,,,
"1","NEW YORK             NY 10028-0935","249359","MANHATTAN","10028","40.779002","-73.958051","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2079","339052","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2000","424582","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10025-7411","290285","MANHATTAN","10025","40.792475","-73.972622","Upper West Side                                                            "
"1","NEW YORK             NY 10028-2079","369589","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2079","349898","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2079","206492","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","GARDEN CITY          NY 11530-5419","196657",,,,,
"1","NEW YORK             NY 10028-2030","339507","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2030","250804","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","JERICHO              NY 11753-1306","341055",,,,,
"1","ROSLYN               NY 11576-2310","426210",,,,,
"1","NEW YORK             NY 10017-3608","207964","MANHATTAN","10017","40.754528","-73.979315","Midtown-Midtown South                                                      "
"1","NEW YORK             NY 10028-2000","198103","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2030","341055","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10162-0005","252350","MANHATTAN","10162","40.769975","-73.951186","Lenox Hill-Roosevelt Island                                                "
"1","NEW YORK             NY 10028-2030","342977","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10025-7483","303049","MANHATTAN","10025","40.792475","-73.972622","Upper West Side                                                            "
"1","NEW YORK             NY 10028-2030","427854","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2030","385356","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028     ","317810","MANHATTAN","10028","40.778662","-73.9583","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2030","209412","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2030","199564","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","MARLBORO             NJ 07746-1455","253816",,,,,
"1","MOUNT KISCO          NY 10549-4745","344989",,,,,
"1","NEW YORK             NY 10028-2030","429499","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2000","386837","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2000","329213","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2030","210958","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2030","201038","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2030","255259","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","LOUISVILLE           KY 40223-2987","346912",,,,,
"1","NEW YORK             NY 10028-2030","431135","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2030","502356","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10101-1548","216614",,,,,
"1","NEW YORK             NY 10022-1010","212422","MANHATTAN","10022","40.763987","-73.97111","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2080","202571","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2080","345431","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2080","256730","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2000","348903","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2080","307513","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2080","432685","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2080","389828","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","WOODLAND             CA 95695-5168","332124",,,,,
"1","HAMPTON              CT 06247-0155","213873",,,,,
"1","PRINCETON            NJ 08540-7326","204028",,,,,
"1","NEW YORK             NY 10028-2080","346912","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","                                  ","258179",,,,,
"1","FORT LAUDERDALE      FL 33301-8125","350920",,,,,
"1","NEW YORK             NY 10024     ","308976","MANHATTAN","10024","40.791949","-73.978176","Upper West Side                                                            "
"1","NEW YORK             NY 10028-2080","434317","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2080","391295","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2080","333591","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2080","215335","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2080","205490","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2000","348440","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2080","259747","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2080","352822","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","RYE                  NY 10580-1575","310445",,,,,
"1","NEW YORK             NY 10028     ","435962",,,,,
"1","NEW YORK             NY 10028-2080","392758","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2080","335134","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-8005","216790","MANHATTAN","10028","40.773401","-73.945901","Yorkville                                                                  "
"1","LAGRANGEVILLE        NY 12540-5600","206949",,,,,
"1","LAGRANGEVILLE        NY 12540-5600","349898",,,,,
"1","NEW YORK             NY 10075-0689","261199","MANHATTAN","10075","40.773428","-73.953129","Yorkville                                                                  "
"1","NEW YORK             NY 10028-2000","354814","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2080","311974","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","ROCKVILLE            MD 20852-5737","437598",,,,,
"1","NEW YORK             NY 10028-2081","394223","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2081","336582","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2081","241510","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2081","522398","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10003-4625","356822","MANHATTAN","10003","40.733823","-73.992538","West Village                                                               "
"1","NEW YORK             NY 10028-2081","313433","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2081","439253","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","LAKE HOPATCONG       NJ 07849-1550","395763",,,,,
"1","NEW YORK             NY 10028-2081","338059","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2000","242966","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2000","413995","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2000","358754","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2081","440899","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10007-1135","397214","MANHATTAN","10007","40.715318","-74.00536","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"1","NEW YORK             NY 10028-2081","339507","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2084","244423","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2081","415920","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2081","360756","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10065-7628","316349",,,,,
"1","FLUSHING             NY 11367-3906","442522",,,,,
"1","NEW YORK             NY 10028-2081","516846","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10017-2201","222884","MANHATTAN","10017","40.75348","-73.971006","Turtle Bay-East Midtown                                                    "
"1","NEW YORK             NY 10028-2083","393298","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2081","362657","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","CHERRY HILL          NJ 08003-2849","317810",,,,,
"1","NEW YORK             NY 10028-2000","444088","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","                                  ","400144",,,,,
"1","NEW YORK             NY 10028-2081","342517","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2081","389285","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2081","364672","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2081","445733","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2000","401606","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2082","343980","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","ORADELL              NJ 07649-1219","248890",,,,,
"1","NEW YORK             NY 10028-2082","985628","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","EAST NORTHPORT       NY 11731-3713","366677",,,,,
"1","NEW YORK             NY 10028-2082","447367","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2082","403135","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","EAST NORTHPORT       NY 11731-5827","345431",,,,,
